SYMBOL,NAME OF COMPANY,Ticker
3MINDIA,3M India Limited,3MINDIA.NS
ABB,ABB India Limited,ABB.NS
ACCELYA,Accelya Solutions India Limited,ACCELYA.NS
ACE,Action Construction Equipment Limited,ACE.NS
ADANIPOWER,Adani Power Limited,ADANIPOWER.NS
AGARIND,Agarwal Industrial Corporation Limited,AGARIND.NS
AKZOINDIA,Akzo Nobel India Limited,AKZOINDIA.NS
ASHOKA,Ashoka Buildcon Limited,ASHOKA.NS
ASIANPAINT,Asian Paints Limited,ASIANPAINT.NS
ASTRAZEN,AstraZeneca Pharma India Limited,ASTRAZEN.NS
BECTORFOOD,Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS
BERGEPAINT,Berger Paints (I) Limited,BERGEPAINT.NS
BOSCHLTD,Bosch Limited,BOSCHLTD.NS
CAMS,Computer Age Management Services Limited,CAMS.NS
CDSL,Central Depository Services (India) Limited,CDSL.NS
COALINDIA,Coal India Limited,COALINDIA.NS
CRISIL,CRISIL Limited,CRISIL.NS
CUMMINSIND,Cummins India Limited,CUMMINSIND.NS
ECLERX,eClerx Services Limited,ECLERX.NS
EICHERMOT,Eicher Motors Limited,EICHERMOT.NS
ELECON,Elecon Engineering Company Limited,ELECON.NS
ESABINDIA,Esab India Limited,ESABINDIA.NS
FCL,Fineotex Chemical Limited,FCL.NS
FINEORG,Fine Organic Industries Limited,FINEORG.NS
GANDHITUBE,Gandhi Special Tubes Limited,GANDHITUBE.NS
GMRINFRA,GMR Infrastructure Limited,GMRINFRA.NS
GODFRYPHLP,Godfrey Phillips India Limited,GODFRYPHLP.NS
HBLPOWER,HBL Power Systems Limited,HBLPOWER.NS
ICEMAKE,Ice Make Refrigeration Limited,ICEMAKE.NS
IGL,Indraprastha Gas Limited,IGL.NS
INDRAMEDCO,Indraprastha Medical Corporation Limited,INDRAMEDCO.NS
INDUSTOWER,Indus Towers Limited,INDUSTOWER.NS
INGERRAND,Ingersoll Rand (India) Limited,INGERRAND.NS
IRCTC,Indian Railway Catering And Tourism Corporation Limited,IRCTC.NS
JAIBALAJI,Jai Balaji Industries Limited,JAIBALAJI.NS
JAMNAAUTO,Jamna Auto Industries Limited,JAMNAAUTO.NS
JKPAPER,JK Paper Limited,JKPAPER.NS
KANSAINER,Kansai Nerolac Paints Limited,KANSAINER.NS
KKCL,Kewal Kiran Clothing Limited,KKCL.NS
KOTHARIPET,Kothari Petrochemicals Limited,KOTHARIPET.NS
KPITTECH,KPIT Technologies Limited,KPITTECH.NS
LIKHITHA,Likhitha Infrastructure Limited,LIKHITHA.NS
LTTS,L&T Technology Services Limited,LTTS.NS
MANINFRA,Man Infraconstruction Limited,MANINFRA.NS
NAM-INDIA,Nippon Life India Asset Management Limited,NAM-INDIA.NS
NATCOPHARM,Natco Pharma Limited,NATCOPHARM.NS
NEULANDLAB,Neuland Laboratories Limited,NEULANDLAB.NS
NUCLEUS,Nucleus Software Exports Limited,NUCLEUS.NS
PENINLAND,Peninsula Land Limited,PENINLAND.NS
PERSISTENT,Persistent Systems Limited,PERSISTENT.NS
PIDILITIND,Pidilite Industries Limited,PIDILITIND.NS
PITTIENG,Pitti Engineering Limited,PITTIENG.NS
RAYMOND,Raymond Limited,RAYMOND.NS
RSYSTEMS,R Systems International Limited,RSYSTEMS.NS
SAFARI,Safari Industries (India) Limited,SAFARI.NS
SATIA,Satia Industries Limited,SATIA.NS
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,SHREDIGCEM.NS
SHREYANIND,Shreyans Industries Limited,SHREYANIND.NS
SKFINDIA,SKF India Limited,SKFINDIA.NS
SKMEGGPROD,SKM Egg Products Export (India) Limited,SKMEGGPROD.NS
SSWL,Steel Strips Wheels Limited,SSWL.NS
TALBROAUTO,Talbros Automotive Components Limited,TALBROAUTO.NS
TATAMOTORS,Tata Motors Limited,TATAMOTORS.NS
TATAMTRDVR,Tata Motors Limited,TATAMTRDVR.NS
TIINDIA,Tube Investments of India Limited,TIINDIA.NS
TIPSINDLTD,TIPS Industries Limited,TIPSINDLTD.NS
TRENT,Trent Limited,TRENT.NS
TRITURBINE,Triveni Turbine Limited,TRITURBINE.NS
VADILALIND,Vadilal Industries Limited,VADILALIND.NS
VBL,Varun Beverages Limited,VBL.NS
