,Ticker,Green Flags
3,3MINDIA.NS,7
305,COALINDIA.NS,7
431,ESABINDIA.NS,7
445,FCL.NS,7
455,FINEORG.NS,7
476,GANDHITUBE.NS,7
257,CAMS.NS,7
1509,TIPSINDLTD.NS,7
1530,TRITURBINE.NS,7
43,AGARIND.NS,7
271,CDSL.NS,7
519,GMRINFRA.NS,7
524,GODFRYPHLP.NS,7
581,HBLPOWER.NS,7
638,ICEMAKE.NS,7
654,IGL.NS,7
236,BOSCHLTD.NS,7
683,INDRAMEDCO.NS,7
688,INDUSTOWER.NS,7
694,INGERRAND.NS,7
709,IRCTC.NS,7
723,JAIBALAJI.NS,7
727,JAMNAAUTO.NS,7
214,BIGBLOC.NS,7
1450,TALBROAUTO.NS,7
1463,TATAMOTORS.NS,7
1464,TATAMTRDVR.NS,7
1502,TIINDIA.NS,7
57,AKZOINDIA.NS,7
752,JKPAPER.NS,7
788,KANSAINER.NS,7
195,BECTORFOOD.NS,7
200,BERGEPAINT.NS,7
821,KKCL.NS,7
829,KOTHARIPET.NS,7
831,KPITTECH.NS,7
859,LIKHITHA.NS,7
1357,SKFINDIA.NS,7
1360,SKMEGGPROD.NS,7
1396,SSWL.NS,7
870,LTTS.NS,7
911,MANINFRA.NS,7
1000,NAM-INDIA.NS,7
1001,NATCOPHARM.NS,7
1026,NEULANDLAB.NS,7
1055,NUCLEUS.NS,7
1110,PENINLAND.NS,7
1111,PERSISTENT.NS,7
128,ASIANPAINT.NS,7
135,ASTRAZEN.NS,7
1123,PIDILITIND.NS,7
1287,SATIA.NS,7
1329,SHREDIGCEM.NS,7
1334,SHREYANIND.NS,7
1336,SHRIPISTON.NS,7
1129,PITTIENG.NS,7
1200,RAYMOND.NS,7
125,ASHOKA.NS,7
1244,RSYSTEMS.NS,7
1259,SAFARI.NS,7
325,CRISIL.NS,7
331,CUMMINSIND.NS,7
402,ECLERX.NS,7
405,EICHERMOT.NS,7
411,ELECON.NS,7
1572,VADILALIND.NS,7
1582,VBL.NS,7
31,ADANIPOWER.NS,7
1525,TRENT.NS,7
18,ABB.NS,7
24,ACCELYA.NS,7
26,ACE.NS,7
19,ABBOTINDIA.NS,6
460,FMGOETZE.NS,6
355,DEEPAKFERT.NS,6
378,DIXON.NS,6
1618,VSSL.NS,6
1615,VOLTAMP.NS,6
1609,VISHNU.NS,6
1599,VIMTALABS.NS,6
1579,VARROC.NS,6
282,CERA.NS,6
272,CEATLTD.NS,6
414,ELGIEQUIP.NS,6
410,EKC.NS,6
380,DLINKINDIA.NS,6
1633,WENDT.NS,6
1635,WHEELS.NS,6
353,DCW.NS,6
343,DBCORP.NS,6
335,CYIENT.NS,6
323,CREDITACC.NS,6
1280,SANOFI.NS,6
111,ARROWGREEN.NS,6
109,ARMANFIN.NS,6
97,APOLLOHOSP.NS,6
1278,SANGHVIMOV.NS,6
1275,SANGAMIND.NS,6
1274,SANDHAR.NS,6
1265,SAKSOFT.NS,6
1264,SAKHTISUG.NS,6
1250,RUCHIRA.NS,6
1247,RUBYMILLS.NS,6
1246,RTNPOWER.NS,6
1239,RPGLIFE.NS,6
122,ASHAPURMIN.NS,6
118,ASAHIINDIA.NS,6
1227,RKFORGE.NS,6
1198,RANEHOLDIN.NS,6
1194,RAMKY.NS,6
1184,RAJRATAN.NS,6
1163,PRICOLLTD.NS,6
1160,PREMIERPOL.NS,6
1153,PRAKASHSTL.NS,6
1151,PRAJIND.NS,6
1141,POLYMED.NS,6
1140,POLYCAB.NS,6
1139,POKARNA.NS,6
1124,PIIND.NS,6
1355,SIYSIL.NS,6
90,APARINDS.NS,6
1343,SIEMENS.NS,6
1331,SHREEPUSHK.NS,6
1330,SHREECEM.NS,6
1328,SHRADHA.NS,6
1311,SHAKTIPUMP.NS,6
1295,SCHNEIDER.NS,6
1294,SCHAND.NS,6
1293,SCHAEFFLER.NS,6
1284,SARLAPOLY.NS,6
1282,SARDAEN.NS,6
1122,PHOENIXLTD.NS,6
1120,PGIL.NS,6
1105,PDMJEPAPER.NS,6
1101,PATELENG.NS,6
1100,PARSVNATH.NS,6
1090,PAGEIND.NS,6
1074,ORBTEXP.NS,6
1073,OPTOCIRCUI.NS,6
1069,ONGC.NS,6
1061,OIL.NS,6
159,BAJAJ-AUTO.NS,6
147,AUTOAXLES.NS,6
1051,NRBBEARING.NS,6
1045,NMDC.NS,6
1042,NITINSPIN.NS,6
1030,NH.NS,6
1027,NEWGEN.NS,6
1023,NESCO.NS,6
1005,NAUKRI.NS,6
1003,NATIONALUM.NS,6
994,NAGREEKCAP.NS,6
993,NAGAFERT.NS,6
172,BALMLAWRIE.NS,6
981,MSTCLTD.NS,6
976,MPSLTD.NS,6
973,MOTILALOFS.NS,6
967,MOLDTECH.NS,6
960,MMFL.NS,6
953,MINDACORP.NS,6
942,MEP.NS,6
929,MAZDOCK.NS,6
918,MARUTI.NS,6
913,MARALOVER.NS,6
886,MAGNUM.NS,6
880,MACPOWER.NS,6
871,LUMAXIND.NS,6
191,BCG.NS,6
67,ALLSEC.NS,6
1433,SURYALAXMI.NS,6
1417,SUNDARMHLD.NS,6
1409,SUDARSCHEM.NS,6
1408,SUBROS.NS,6
1404,STERTOOLS.NS,6
1399,STARPAPER.NS,6
1389,SREEL.NS,6
1378,SPAL.NS,6
1370,SOMANYCERA.NS,6
1366,SNOWMAN.NS,6
1362,SMLISUZU.NS,6
1359,SKIPPER.NS,6
188,BAYERCROP.NS,6
183,BANSWRAS.NS,6
176,BANARISUG.NS,6
863,LOKESHMACH.NS,6
854,LGBBROSLTD.NS,6
842,KUANTUM.NS,6
837,KSB.NS,6
817,KIRLOSBROS.NS,6
813,KINGFA.NS,6
805,KESORAMIND.NS,6
801,KEI.NS,6
197,BEL.NS,6
797,KDDL.NS,6
784,KAMDHENU.NS,6
775,JYOTHYLAB.NS,6
769,JTEKTINDIA.NS,6
768,JSWSTEEL.NS,6
765,JSWENERGY.NS,6
763,JSL.NS,6
762,JPPOWER.NS,6
753,JKTYRE.NS,6
750,JKIL.NS,6
741,JINDALSAW.NS,6
222,BIRLAMONEY.NS,6
51,AIRAN.NS,6
48,AHLUCONT.NS,6
1501,TIIL.NS,6
1499,TI.NS,6
1493,THEMISMED.NS,6
1475,TCPLPACK.NS,6
1465,TATAPOWER.NS,6
1460,TATAELXSI.NS,6
1456,TATACHEM.NS,6
1451,TANLA.NS,6
1448,TAJGVK.NS,6
728,JASH.NS,6
721,JAGRAN.NS,6
715,ITDCEM.NS,6
713,ITC.NS,6
704,IOC.NS,6
690,INFIBEAM.NS,6
663,IMFA.NS,6
662,IMAGICAA.NS,6
237,BPCL.NS,6
230,BLUEDART.NS,6
228,BLS.NS,6
629,HPL.NS,6
620,HITECHGEAR.NS,6
608,HINDCOMPOS.NS,6
607,HINDALCO.NS,6
601,HGINFRA.NS,6
574,HAPPSTMNDS.NS,6
573,HAL.NS,6
569,GULFOILLUB.NS,6
565,GUJALKALI.NS,6
248,BSOFT.NS,6
244,BSE.NS,6
242,BRNL.NS,6
553,GRPLTD.NS,6
548,GREENPANEL.NS,6
545,GRAVITA.NS,6
541,GPTINFRA.NS,6
539,GPIL.NS,6
520,GNA.NS,6
518,GMMPFAUDLR.NS,6
511,GLOBAL.NS,6
508,GLAXO.NS,6
494,GESHIP.NS,6
488,GEEKAYWIRE.NS,6
42,AFFLE.NS,6
39,ADVANIHOTR.NS,6
38,ADSL.NS,6
1567,USHAMART.NS,6
1538,TVSMOTOR.NS,6
1529,TRIL.NS,6
1645,WSTCSTPAPR.NS,6
1519,TORNTPOWER.NS,6
1518,TORNTPHARM.NS,6
1515,TNPL.NS,6
1512,TITAN.NS,6
1507,TIMKEN.NS,6
1506,TIMETECHNO.NS,6
265,CARBORUNIV.NS,6
263,CAPLIPOINT.NS,6
261,CANTABIL.NS,6
478,GANESHHOUC.NS,6
473,GALLANTT.NS,6
468,GABRIEL.NS,6
464,FOSECOIND.NS,6
0,20MICRONS.NS,6
452,FIEMIND.NS,6
421,EMMBI.NS,6
416,EMAMILTD.NS,6
297,CIGNITITEC.NS,6
293,CHENNPETRO.NS,6
307,COFORGE.NS,6
28,ADANIENT.NS,6
1652,ZEELEARN.NS,6
10,AARON.NS,6
9,AAKASH.NS,6
29,ADANIGREEN.NS,6
30,ADANIPORTS.NS,6
1630,WELENT.NS,5
5,5PAISA.NS,5
1664,ZYDUSWELL.NS,5
1628,WEIZMANIND.NS,5
1625,WANBURY.NS,5
1644,WSI.NS,5
1315,SHANTIGEAR.NS,5
1648,XPROINDIA.NS,5
1028,NEXTMEDIA.NS,5
1024,NESTLEIND.NS,5
1021,NELCO.NS,5
1020,NELCAST.NS,5
1015,NDL.NS,5
1012,NCC.NS,5
319,COUNCODOS.NS,5
316,CORDSCABLE.NS,5
315,CORALFINAC.NS,5
314,CONTROLPR.NS,5
334,CYBERTECH.NS,5
326,CROMPTON.NS,5
324,CREST.NS,5
311,CONCOR.NS,5
310,COMPUSOFT.NS,5
308,COLPAL.NS,5
306,COCHINSHIP.NS,5
321,CREATIVE.NS,5
300,CIPLA.NS,5
349,DCM.NS,5
345,DBREALTY.NS,5
288,CHALET.NS,5
1035,NILASPACES.NS,5
1033,NIITLTD.NS,5
989,MURUDCERA.NS,5
1010,NBIFIN.NS,5
1008,NAVNETEDUL.NS,5
996,NAHARCAP.NS,5
977,MRF.NS,5
171,BALLARPUR.NS,5
167,BALAMINES.NS,5
164,BAJAJHLDNG.NS,5
68,ALMONDZ.NS,5
66,ALLCARGO.NS,5
64,ALKEM.NS,5
1314,SHANKARA.NS,5
1312,SHALBY.NS,5
1303,SESHAPAPER.NS,5
1298,SEAMECLTD.NS,5
1613,VLSFINANCE.NS,5
1439,SUZLON.NS,5
1436,SUULD.NS,5
1435,SUTLEJTEX.NS,5
986,MUKTAARTS.NS,5
980,MSPL.NS,5
1432,SURANAT&P.NS,5
1429,SUPREMEIND.NS,5
1427,SUPRAJIT.NS,5
397,DYNAMATECH.NS,5
363,DGCONTENT.NS,5
361,DENORA.NS,5
358,DELTACORP.NS,5
357,DEEPENR.NS,5
356,DEEPAKNTR.NS,5
386,DPABHUSHAN.NS,5
108,ARIHANTSUP.NS,5
107,ARIHANT.NS,5
1421,SUNPHARMA.NS,5
1420,SUNFLAG.NS,5
1419,SUNDRMFAST.NS,5
155,AXISCADES.NS,5
153,AWHCL.NS,5
936,MCLEODRUSS.NS,5
74,AMBER.NS,5
88,ANSALHSG.NS,5
87,ANSALAPI.NS,5
80,ANANTRAJ.NS,5
1297,SDBL.NS,5
1283,SAREGAMA.NS,5
381,DMART.NS,5
379,DLF.NS,5
371,DIAMONDYD.NS,5
403,EDELWEISS.NS,5
69,ALOKINDS.NS,5
1446,SYNGENE.NS,5
1442,SWELECTES.NS,5
77,AMDIND.NS,5
949,MGL.NS,5
930,MBAPL.NS,5
928,MAZDA.NS,5
392,DSSL.NS,5
391,DRREDDY.NS,5
280,CENTURYPLY.NS,5
276,CENTEXT.NS,5
275,CENTENKA.NS,5
413,ELECTHERM.NS,5
409,EIMCOELECO.NS,5
89,ANUP.NS,5
925,MAXIND.NS,5
924,MAXHEALTH.NS,5
888,MAHAPEXLTD.NS,5
884,MAGADSUGAR.NS,5
883,MADRASFERT.NS,5
879,MAANALU.NS,5
914,MARATHON.NS,5
907,MANGCHEFER.NS,5
902,MANAKSIA.NS,5
901,MANAKCOAT.NS,5
1054,NTPC.NS,5
1052,NSIL.NS,5
1050,NRAIL.NS,5
1067,ONELIFECAP.NS,5
98,APOLLOPIPE.NS,5
96,APOLLO.NS,5
1273,SANDESH.NS,5
1270,SALZERELEC.NS,5
407,EIHAHOTELS.NS,5
427,EQUITAS.NS,5
425,ENIL.NS,5
422,ENDURANCE.NS,5
287,CGPOWER.NS,5
1064,OMAXAUTO.NS,5
1063,OLECTRA.NS,5
1060,OFSS.NS,5
1476,TCS.NS,5
1466,TATASTEEL.NS,5
1462,TATAMETALI.NS,5
1458,TATACOMM.NS,5
1457,TATACOFFEE.NS,5
1455,TASTYBITE.NS,5
896,MAHSEAMLES.NS,5
1587,VESUVIUS.NS,5
1586,VERTOZ.NS,5
442,EXPLEOSOL.NS,5
1252,RUSHIL.NS,5
102,ARCHIDPLY.NS,5
99,APOLLOTYRE.NS,5
891,MAHESHWARI.NS,5
177,BANCOINDIA.NS,5
862,LINDEINDIA.NS,5
857,LIBERTSHOE.NS,5
877,M&M.NS,5
875,LYKALABS.NS,5
872,LUMAXTECH.NS,5
868,LT.NS,5
866,LPDC.NS,5
189,BBL.NS,5
1058,OBEROIRLTY.NS,5
436,EUROTEXIND.NS,5
430,EROSMEDIA.NS,5
463,FORTIS.NS,5
462,FORCEMOT.NS,5
459,FLUOROCHEM.NS,5
458,FLFL.NS,5
457,FLEXITUFF.NS,5
456,FINPIPE.NS,5
268,CASTROLIND.NS,5
1574,VAISHALI.NS,5
1571,V2RETAIL.NS,5
266,CAREERP.NS,5
262,CAPACITE.NS,5
470,GAIL.NS,5
441,EXIDEIND.NS,5
157,BAFNAPH.NS,5
156,AYMSYNTEX.NS,5
1087,ORTEL.NS,5
1079,ORIENTBELL.NS,5
1075,ORCHPHARMA.NS,5
1071,ONWARDTEC.NS,5
1415,SUNDARAM.NS,5
852,LEMONTREE.NS,5
851,LAXMIMACH.NS,5
848,LAOPALA.NS,5
1262,SAIL.NS,5
1258,SADBHIN.NS,5
1257,SADBHAV.NS,5
483,GAYAHWS.NS,5
838,KSCL.NS,5
1491,THANGAMAYL.NS,5
1481,TECHNOE.NS,5
1477,TDPOWERSYS.NS,5
1398,STARCEMENT.NS,5
1108,PEL.NS,5
1098,PARACABLES.NS,5
205,BHAGYANGR.NS,5
835,KRIDHANINF.NS,5
832,KPRMILL.NS,5
824,KOKUYOCMLN.NS,5
823,KNRCON.NS,5
1570,UTTAMSUGAR.NS,5
512,GLOBALVECT.NS,5
502,GILLETTE.NS,5
499,GICHSGFIN.NS,5
498,GHCL.NS,5
127,ASIANHOTNR.NS,5
126,ASHOKLEY.NS,5
124,ASHIMASYN.NS,5
1268,SALONA.NS,5
796,KCPSUGIND.NS,5
795,KCP.NS,5
794,KAYA.NS,5
793,KAUSHALYA.NS,5
812,KILITCH.NS,5
806,KEYFINSERV.NS,5
132,ASTERDM.NS,5
1119,PGHL.NS,5
1236,ROSSARI.NS,5
1232,ROHLTD.NS,5
531,GOKEX.NS,5
528,GODREJIND.NS,5
523,GOCLCORP.NS,5
522,GOACARBON.NS,5
521,GNFC.NS,5
516,GMBREW.NS,5
1118,PGHH.NS,5
1116,PFS.NS,5
1112,PETRONET.NS,5
1109,PENIND.NS,5
774,JUSTDIAL.NS,5
203,BGRENERGY.NS,5
202,BFUTILITIE.NS,5
194,BEARDSELL.NS,5
193,BDL.NS,5
1563,UNIVCABLES.NS,5
551,GRINDWELL.NS,5
547,GREENLAM.NS,5
112,ARSHIYA.NS,5
1229,RML.NS,5
1226,RKEC.NS,5
1241,RPPINFRA.NS,5
56,AKSHOPTFBR.NS,5
53,AJMERA.NS,5
52,AJANTPHARM.NS,5
50,AIAENG.NS,5
49,AHLWEST.NS,5
1500,TIDEWATER.NS,5
1497,THOMASCOTT.NS,5
1494,THERMAX.NS,5
792,KARURVYSYA.NS,5
789,KAPSTON.NS,5
783,KAMATHOTEL.NS,5
221,BIRLACORPN.NS,5
537,GOODLUCK.NS,5
535,GOLDIAM.NS,5
247,BSL.NS,5
241,BRITANNIA.NS,5
240,BRIGADE.NS,5
559,GTL.NS,5
33,ADFFOODS.NS,5
772,JUBLINDS.NS,5
771,JUBLFOOD.NS,5
766,JSWHL.NS,5
759,JPASSOCIAT.NS,5
59,ALBERTDAVD.NS,5
1392,SRHHYPOLTD.NS,5
1382,SPENCERS.NS,5
1381,SPECIALITY.NS,5
1379,SPANDANA.NS,5
1210,RELIANCE.NS,5
121,ASALCBR.NS,5
117,ARVSMART.NS,5
115,ARVIND.NS,5
557,GSPL.NS,5
554,GRSE.NS,5
572,GVKPIL.NS,5
564,GUFICBIO.NS,5
255,CALSOFT.NS,5
1552,ULTRACEMCO.NS,5
1551,UJJIVANSFB.NS,5
1550,UJJIVAN.NS,5
1546,UFLEX.NS,5
1543,UBL.NS,5
1218,RESPONIND.NS,5
1217,REPRO.NS,5
1214,RENUKA.NS,5
1514,TNPETRO.NS,5
1508,TINPLATE.NS,5
63,ALKALI.NS,5
62,ALICON.NS,5
60,ALCHEM.NS,5
749,JKCEMENT.NS,5
747,JITFINFRA.NS,5
742,JINDALSTEL.NS,5
94,APLAPOLLO.NS,5
92,APCOTEXIND.NS,5
91,APCL.NS,5
1222,RICOAUTO.NS,5
586,HCLTECH.NS,5
582,HBSL.NS,5
579,HAVELLS.NS,5
612,HINDOILEXP.NS,5
609,HINDCOPPER.NS,5
218,BIOCON.NS,5
211,BHARATWIRE.NS,5
208,BHARATFORG.NS,5
735,JBMA.NS,5
731,JAYNECOIND.NS,5
1522,TPLPLASTEH.NS,5
142,ATULAUTO.NS,5
1152,PRAKASH.NS,5
1150,PRAENG.NS,5
1148,PPL.NS,5
1147,PPAP.NS,5
602,HGS.NS,5
597,HEROMOTOCO.NS,5
595,HERCULES.NS,5
630,HSCL.NS,5
628,HOVS.NS,5
626,HONDAPOWER.NS,5
619,HITECHCORP.NS,5
1352,SIRCA.NS,5
1346,SILINV.NS,5
1345,SIL.NS,5
1146,POWERMECH.NS,5
1143,PONNIERODE.NS,5
693,INFY.NS,5
691,INFOBEAN.NS,5
719,IZMO.NS,5
714,ITDC.NS,5
1201,RBL.NS,5
1199,RATNAMANI.NS,5
617,HISARMETAL.NS,5
616,HIRECT.NS,5
645,IDEA.NS,5
643,ICRA.NS,5
635,HUHTAMAKI.NS,5
710,ISEC.NS,5
1164,PRIMESECU.NS,5
1158,PREMEXPLN.NS,5
1157,PRECWIRE.NS,5
1156,PRECOT.NS,5
1155,PRECAM.NS,5
678,INDOSOLAR.NS,5
675,INDNIPPON.NS,5
673,INDIGO.NS,5
672,INDIANHUME.NS,5
707,IRB.NS,5
669,INDIAMART.NS,5
668,INDIAGLYCO.NS,5
1539,TVSSRICHAK.NS,5
1532,TTKHLTCARE.NS,5
1527,TRIDENT.NS,5
234,BOROLTD.NS,5
233,BOMDYEING.NS,5
1177,QUESS.NS,5
1175,PURVA.NS,5
1367,SOBHA.NS,5
1187,RAJTV.NS,5
1186,RAJSREESUG.NS,5
1182,RAIN.NS,5
1181,RADIOCITY.NS,5
1180,RADICO.NS,5
231,BLUESTARCO.NS,5
226,BLISSGVS.NS,5
653,IGARASHI.NS,5
650,IFBIND.NS,5
648,IEX.NS,5
700,INTELLECT.NS,5
657,IIFLSEC.NS,5
239,BRFL.NS,5
680,INDOTECH.NS,5
1372,SOMICONVEY.NS,5
1369,SOLARINDS.NS,5
1622,WABAG.NS,5
1621,VTL.NS,5
1639,WIPL.NS,5
21,ABFRL.NS,5
1662,ZUARI.NS,5
1658,ZICOM.NS,5
1656,ZENSARTECH.NS,5
295,CHOLAHLDNG.NS,5
292,CHEMFAB.NS,5
20,ABCAPITAL.NS,4
1317,SHARDAMOTR.NS,4
1318,SHAREINDIA.NS,4
1319,SHEMAROO.NS,4
1322,SHIRPUR-G.NS,4
1323,SHIVAMAUTO.NS,4
1325,SHIVATEX.NS,4
1327,SHOPERSTOP.NS,4
290,CHEMBOND.NS,4
298,CINELINE.NS,4
1659,ZODIACLOTH.NS,4
1661,ZOTA.NS,4
333,CYBERMEDIA.NS,4
332,CUPID.NS,4
330,CUBEXTUB.NS,4
329,CUB.NS,4
322,CREATIVEYE.NS,4
1601,VINDHYATEL.NS,4
1600,VINATIORGA.NS,4
301,CLEDUCATE.NS,4
351,DCMNVL.NS,4
347,DCAL.NS,4
346,DBSTOCKBRO.NS,4
344,DBL.NS,4
342,DATAMATICS.NS,4
341,DANGEE.NS,4
340,DAMODARIND.NS,4
289,CHAMBLFERT.NS,4
1535,TTML.NS,4
1178,QUICKHEAL.NS,4
1207,REFEX.NS,4
1206,REDINGTON.NS,4
1204,RCOM.NS,4
1203,RCF.NS,4
1368,SOLARA.NS,4
1358,SKIL.NS,4
1179,RADAAN.NS,4
227,BLKASHYAP.NS,4
